,coupe,pickup,sedan,suv,crossover
389,901,464,245,595,130
390,1002,449,248,582,126
391,868,435,244,578,126
392,703,407,249,651,125
393,710,421,261,733,136
394,659,490,277,699,148
395,698,502,299,679,152
396,841,487,265,609,137
397,993,525,284,661,148
398,814,528,285,663,149
399,849,508,294,757,154
400,767,480,290,807,157
401,98,55,38,83,17
402,499,368,216,528,114
403,713,361,212,513,116
404,976,362,212,504,113
405,653,361,214,509,115
406,554,363,221,585,116
407,561,369,227,654,119
408,937,703,404,1092,224
409,1225,1020,563,1354,302
410,1272,993,562,1320,293
411,1242,994,567,1319,293
412,1241,1031,562,1348,287
413,1388,981,623,1586,304
414,1470,1012,621,1792,322
415,1417,1385,628,1753,335
416,1362,1268,690,1590,340
417,1372,1131,632,1499,326
418,1363,1090,648,1502,344
419,1395,1067,629,1522,357
420,1502,1032,649,1699,352
421,1585,1054,673,1898,362
422,1145,761,449,1265,262
423,501,373,225,517,116
424,694,357,226,512,116
425,926,346,214,505,113
426,663,356,217,518,113
427,555,363,219,564,117
428,561,369,223,630,124
429,733,590,322,882,186
430,1073,814,449,1121,256
431,1066,786,436,1129,249
432,1254,775,447,1086,240
433,1128,802,453,1111,242
434,1155,842,464,1204,245
435,1219,855,485,1366,257
436,1310,971,522,1399,294
437,1326,1087,608,1405,315
438,1339,1033,592,1347,308
439,1356,1012,577,1356,298
440,1401,1037,595,1447,311
441,1460,1081,625,1609,312
442,1689,1127,662,1801,330
443,1475,1042,546,1497,292
444,880,737,407,941,204
445,899,708,402,926,205
446,958,691,401,922,203
447,1048,718,408,952,199
448,1214,727,420,1030,202
449,1231,766,441,1175,222
450,1039,682,358,969,185
451,546,398,214,482,108
452,515,378,212,472,109
453,511,375,217,477,119
454,504,409,212,485,109
455,562,400,217,524,109
456,979,394,229,598,113
457,653,413,214,576,111
458,522,408,233,473,109
459,758,390,226,486,108
460,848,385,215,496,110
461,558,387,221,509,109
462,540,396,224,546,111
463,614,410,228,618,115
464,706,576,295,776,163
465,1101,886,467,1088,245
466,1102,850,467,1050,239
467,1097,813,456,1062,235
468,1123,818,470,1081,235
469,1314,854,480,1149,236
470,1332,896,508,1345,247
471,1273,972,495,1355,260
472,1249,1049,554,1255,281
473,1326,1019,561,1291,296
474,1395,1034,553,1346,283
475,1475,1129,600,1423,289
476,1506,1145,586,1506,300
477,1630,1112,591,1581,297
478,1489,987,484,1373,250
479,262,217,117,274,59
480,266,201,113,257,56
481,271,202,111,262,58
482,272,200,111,259,58
483,280,204,116,274,60
484,674,207,113,306,60
485,599,352,171,469,94
486,1195,925,497,1129,262
487,1173,917,487,1116,257
488,1233,920,485,1133,263
489,1246,897,500,1134,272
490,1313,932,513,1213,293
491,1370,930,514,1362,284
492,1347,994,518,1435,292
493,1279,1072,558,1297,300
494,1330,1040,553,1298,288
495,1476,1023,549,1286,286
496,1461,1050,599,1343,302
497,1537,1063,606,1428,301
498,1764,1075,605,1590,303
499,1563,1069,605,1628,302
500,1176,930,517,1150,257
501,1205,914,518,1148,258
502,1264,896,511,1168,262
503,1240,910,531,1216,280
504,1344,930,535,1263,271
505,1626,956,571,1405,268
506,1522,1008,557,1483,280
507,735,547,299,674,155
508,769,543,303,693,148
509,766,538,322,694,155
510,764,520,318,674,148
511,818,555,326,723,154
512,1160,563,326,816,154
513,934,628,307,813,155
514,1101,993,412,976,207
515,1104,939,431,932,211
516,1125,856,414,914,209
517,1128,817,413,919,211
518,1252,797,413,941,210
519,1394,774,432,1017,208
520,1341,828,433,1077,220
521,292,265,115,263,58
522,253,165,77,171,39
523,258,152,78,175,38
524,270,151,76,177,40
525,613,154,85,186,38
526,613,156,92,210,40
527,473,158,91,220,41
528,559,198,108,239,51
529,495,191,104,228,55
530,688,192,107,231,52
531,606,193,106,232,51
532,504,192,110,241,54
533,565,198,114,274,53
534,560,195,107,285,57
535,321,125,69,158,35
536,362,104,58,122,29
537,316,104,55,123,25
538,328,102,56,127,27
539,344,101,58,130,25
540,359,105,59,143,26
541,500,110,58,156,25
542,729,136,68,163,32
543,521,142,75,167,35
544,438,140,73,164,36
545,383,138,76,172,36
546,519,139,73,170,35
547,731,142,77,191,34
548,444,144,74,200,37
549,374,164,78,188,39
550,426,169,82,181,39
551,574,185,81,177,40
552,461,213,88,192,40
553,334,192,85,188,40
554,500,172,91,216,42
555,766,166,84,229,41
556,645,226,112,272,54
557,560,243,128,285,64
558,396,231,125,283,63
559,500,234,128,296,62
560,645,239,127,298,62
561,406,237,137,345,62
562,443,233,135,371,61
563,712,240,122,327,60
564,328,234,124,286,60
565,320,225,129,277,61
566,365,222,127,288,61
567,362,221,129,296,59
568,670,230,129,315,60
569,340,226,132,341,65
570,946,783,422,1021,214
571,1440,1226,668,1500,323
572,1421,1198,657,1454,318
573,1426,1182,664,1490,318
574,1462,1170,665,1527,316
575,1569,1199,688,1691,317
576,1611,1297,693,1863,339
577,1537,1260,669,1709,328
578,1448,1239,673,1489,316
579,1430,1206,667,1439,304
580,1417,1201,666,1439,309
581,1440,1192,650,1434,307
582,1636,1228,685,1597,314
583,1648,1298,683,1740,320
584,1326,1048,531,1320,267
585,1104,787,402,913,198
586,1185,769,407,912,199
587,1250,759,405,896,195
588,1240,761,429,958,203
589,1342,775,429,1032,197
590,1409,825,433,1127,203
